# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-17T00:00:00.0
# Date end (ISO 8601): 2022-07-18T00:00:00.0
# Latitude (positive North, ISO 19115): 41.8900
# Longitude (positive East, ISO 19115): 12.4900
# Altitude (m): 39.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2022-07-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-17T00:00:00.0/2022-06-17T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T01:00:00.0/2022-06-17T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T02:00:00.0/2022-06-17T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T03:00:00.0/2022-06-17T04:00:00.0;12.6188;3.4203;0.4848;2.9355;11.1109;2.1472;0.0000;2.1472;0.0000;1.0000
2022-06-17T04:00:00.0/2022-06-17T05:00:00.0;189.8105;88.3270;42.2906;46.0363;260.7206;79.1792;34.0331;45.1461;193.5804;1.0000
2022-06-17T05:00:00.0/2022-06-17T06:00:00.0;424.1681;257.1251;168.4285;88.6966;515.1793;242.2061;163.8655;78.3406;499.8919;1.0000
2022-06-17T06:00:00.0/2022-06-17T07:00:00.0;653.4349;444.8514;328.2959;116.5555;659.6547;430.0320;328.5158;101.5161;659.8320;1.0000
2022-06-17T07:00:00.0/2022-06-17T08:00:00.0;861.9915;623.2508;488.5591;134.6917;746.4001;611.0092;492.8354;118.1738;752.8401;1.0000
2022-06-17T08:00:00.0/2022-06-17T09:00:00.0;1035.6289;774.6675;628.2073;146.4601;799.6731;767.3180;638.4990;128.8190;812.7132;1.0000
2022-06-17T09:00:00.0/2022-06-17T10:00:00.0;1162.5171;885.5164;728.8940;156.6224;826.9824;873.0792;721.9457;151.1335;819.8800;1.0000
2022-06-17T10:00:00.0/2022-06-17T11:00:00.0;1234.0111;947.0179;780.6664;166.3514;834.5054;911.6806;696.5251;215.1555;744.4061;1.0000
2022-06-17T11:00:00.0/2022-06-17T12:00:00.0;1245.2412;955.2236;782.7228;172.5007;829.1396;924.5359;711.8293;212.7067;753.8165;1.0000
2022-06-17T12:00:00.0/2022-06-17T13:00:00.0;1195.4451;908.1973;733.1376;175.0597;808.8077;836.1680;612.4924;223.6756;673.6275;1.0000
2022-06-17T13:00:00.0/2022-06-17T14:00:00.0;1088.0192;810.0075;636.3386;173.6689;770.9949;378.0787;50.7640;327.3147;58.9205;1.0000
2022-06-17T14:00:00.0/2022-06-17T15:00:00.0;930.2869;669.1100;503.0506;166.0594;712.1216;294.6006;3.1955;291.4051;4.9461;1.0000
2022-06-17T15:00:00.0/2022-06-17T16:00:00.0;732.9997;498.1586;350.6544;147.5043;628.6645;262.6144;9.3987;253.2157;15.4717;1.0000
2022-06-17T16:00:00.0/2022-06-17T17:00:00.0;509.6027;312.9825;197.0594;115.9231;504.1194;160.5567;5.7424;154.8143;17.9831;1.0000
2022-06-17T17:00:00.0/2022-06-17T18:00:00.0;275.3185;136.6216;66.4560;70.1655;300.2568;113.2408;36.8623;76.3786;174.0784;1.0000
2022-06-17T18:00:00.0/2022-06-17T19:00:00.0;55.4040;18.0721;4.2109;13.8611;49.3292;14.4470;0.7666;13.6804;6.9630;1.0000
2022-06-17T19:00:00.0/2022-06-17T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T20:00:00.0/2022-06-17T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T21:00:00.0/2022-06-17T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T22:00:00.0/2022-06-17T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T23:00:00.0/2022-06-18T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T00:00:00.0/2022-06-18T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T01:00:00.0/2022-06-18T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T02:00:00.0/2022-06-18T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T03:00:00.0/2022-06-18T04:00:00.0;12.4922;3.6755;0.8068;2.8687;18.6997;2.3517;0.0000;2.3517;0.0000;1.0000
2022-06-18T04:00:00.0/2022-06-18T05:00:00.0;189.3356;95.3674;54.6116;40.7558;343.4967;85.3433;46.1288;39.2145;272.6616;1.0000
2022-06-18T05:00:00.0/2022-06-18T06:00:00.0;423.5939;271.0238;197.3104;73.7134;605.9843;254.8225;191.0520;63.7704;585.7090;1.0000
2022-06-18T06:00:00.0/2022-06-18T07:00:00.0;652.8219;461.8752;367.0315;94.8437;738.8792;445.1480;362.4998;82.6482;729.5283;1.0000
2022-06-18T07:00:00.0/2022-06-18T08:00:00.0;861.4026;640.7070;530.6513;110.0556;811.4603;626.2739;528.1139;98.1600;807.4464;1.0000
2022-06-18T08:00:00.0/2022-06-18T09:00:00.0;1035.1250;791.7161;670.7497;120.9664;854.2436;782.0049;673.2405;108.7644;857.3417;1.0000
2022-06-18T09:00:00.0/2022-06-18T10:00:00.0;1162.1526;902.8615;773.7963;129.0652;878.0493;896.4479;780.8745;115.5734;886.0552;1.0000
2022-06-18T10:00:00.0/2022-06-18T11:00:00.0;1233.8306;965.5937;830.7177;134.8760;887.9817;960.5408;840.9244;119.6165;898.8858;1.0000
2022-06-18T11:00:00.0/2022-06-18T12:00:00.0;1245.2762;974.7970;836.7317;138.0653;886.1853;970.0512;848.1501;121.9011;898.2783;1.0000
2022-06-18T12:00:00.0/2022-06-18T13:00:00.0;1195.7118;928.5624;787.4579;141.1045;868.4149;923.2103;798.8639;124.3464;881.0019;1.0000
2022-06-18T13:00:00.0/2022-06-18T14:00:00.0;1088.5172;830.2444;687.0790;143.1654;832.0130;822.9318;697.0438;125.8880;844.0624;1.0000
2022-06-18T14:00:00.0/2022-06-18T15:00:00.0;931.0000;688.2874;548.2125;140.0749;775.4786;676.6631;554.1575;122.5056;783.8413;1.0000
2022-06-18T15:00:00.0/2022-06-18T16:00:00.0;733.8961;517.0614;393.1727;123.8887;704.7749;501.9131;394.3687;107.5444;706.6478;1.0000
